Goat no.,date ,VER,Cervical mucus,Buck interest,Vulvar edema
7,23-10-2024,260,yes ,yes,yes
14,23-10-2024,,no,yes,no
14,24-10-2024,,yes ,yes,yes
14,25-10-2024,250,yes ,yes,yes
10,07-11-2024,270,yes ,yes,yes
11,18-10-2024,250,yes ,yes,yes
18,31-10-2024,280,yes ,yes ,yes 
20,01-11-2024,290,yes ,yes ,yes 
7,13-11-2024,240,yes ,yes ,yes 
10,27-11-2024,240,no,yes ,yes 
10,28-11-2024,290,yes ,yes ,yes 
11,08-11-2024,290,yes ,yes ,yes 
14,14-11-2024,280,yes ,yes,yes
14,15-11-2024,370,no,no,no
18,21-11-2024,290,yes ,yes ,yes 
20,19-11-2024,230,yes ,yes ,yes
20,20-11-2024,280,yes ,yes ,no
